run_name,run_id,metric,step,timestamp,value
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/inference_seconds_10s,0,1773682212668,0.003680767685485383
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/val_rank_pesq_mean,2,1773681535852,2.8713629730045795
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/val_select_delta_snr_mean,0,1773682212668,7.418442455392723
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/val_select_pesq_mean,0,1773682212668,2.8608383980023087
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/val_select_sisdr_mean,0,1773682212668,13.380144119262695
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,best/val_select_stoi_mean,0,1773682212668,0.85379410165859
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,classic_gap_vs_spectral_gating,0,1773682213108,0.48468545139188635
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,1,1773681457035,0.0002
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,2,1773681529896,0.0002
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,3,1773681608709,0.0002
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,4,1773681681643,0.0002
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,5,1773681760688,0.0002
metricgan_plus_native8k_causal_s-small-lr0.0002-seg16000-lossD2-seed0,2a2b1b3f2c7c4f1f9087a23e2dfdf762,lr,6,1773681833837,0.0002
